18.92700	34.72900	-2.31934	
19.04907	34.93652	-1.98975	
19.01245	34.74731	-2.24609	
18.95142	34.85107	-1.94092	
19.01245	34.98535	-1.89209	
19.01245	34.98535	-1.89209	
19.13452	34.91211	-2.33154	
18.93921	34.80225	-2.27051	
19.05518	34.85107	-2.13623	
18.97583	34.91821	-2.27661	
18.97583	34.91821	-2.27661	
19.00024	34.84497	-2.34375	
19.06738	34.73511	-2.32544	
19.06738	34.73511	-2.32544	
18.90869	34.82056	-2.19727	
18.87817	35.02197	-2.22168	
18.91479	34.96094	-2.07520	
18.91479	34.96094	-2.07520	
19.01245	35.02808	-2.13013	
18.87817	34.80225	-2.25220	
18.90869	34.93042	-2.14844	
18.99414	35.05859	-2.15454	
18.99414	35.05859	-2.15454	
18.86597	35.19287	-2.17285	
19.00635	35.04028	-2.03247	
19.00635	35.04028	-2.03247	
19.14062	35.11963	-2.08740	
18.93311	35.09521	-2.27051	
19.03687	35.02197	-1.98975	
18.90869	35.09521	-1.98975	
18.90869	35.09521	-1.98975	
18.84155	35.29053	-1.64795	
19.02466	35.24170	-2.05688	
19.02466	35.24170	-2.05688	
19.17114	35.27222	-1.96533	
19.33594	35.32104	-1.97754	
19.17725	35.24780	-1.89819	
19.17114	35.24170	-1.90430	
19.17114	35.24170	-1.90430	
19.25659	35.51636	-2.06299	
19.06738	35.30884	-2.04468	
19.07349	35.38818	-2.03857	
19.01245	35.36987	-2.20947	
19.40918	35.46143	-2.09961	
18.96973	35.32715	-1.95923	
18.98193	35.24170	-1.62964	
18.84155	34.97314	-1.94092	
18.84766	35.13794	-1.81885	
18.92090	35.10132	-1.77002	
18.92090	35.10132	-1.77002	
18.89038	35.23560	-1.65405	
18.87207	35.21729	-1.74561	
18.95752	35.33325	-1.83716	
18.89648	35.17456	-1.81885	
18.99414	35.19897	-2.01416	
18.99414	35.19897	-2.01416	
18.96973	35.19287	-1.95923	
19.03076	35.11353	-1.88599	
18.89038	35.25391	-1.67847	
18.98193	35.20508	-1.86157	
18.96362	35.35767	-1.22681	
18.90869	35.11963	-1.66626	
19.03076	35.27222	-1.80054	
19.03687	35.30273	-1.81274	
19.07959	35.17456	-1.83716	
18.92090	35.15625	-1.77612	
18.97583	35.15625	-1.66626	
18.89038	35.14404	-1.71509	
18.89038	35.21729	-1.72729	
